"pop1" "pop2" "pop3" "pop4" "pop5"
" Pmch" 39.7306 44.3131 43.5483 83.8111 40.0388
" Scd1" 32.8383 30.3959 207.244 246.923 596.165
" Sema3d" 128.313 58.8357 24.3457 25.6945 28.564
" Ltf" 1926.25 824.595 102.58 154.014 81.1863
" Il18r1" 178.421 206.85 25.0933 25.8531 26.8249
" Clec4d" 125.593 73.8487 23.3508 25.8461 24.6936
" Clec5a" 232.55 117.711 25.1699 35.2546 25.706
" Car13" 40.4619 56.4147 235.168 451.438 156.963
" Capns2" 67.0556 55.4347 50.4057 26.3111 28.4146
" Stil" 260.369 274.677 341.068 825.364 342.683
" Camk1g" 24.8572 27.4431 65.5493 28.2144 81.2425
" Ebf1" 240.609 757.249 3625.98 2477.47 3580.98
" Dhrs9" 83.5825 63.4965 28.5466 26.3148 27.5125
" Il31ra" 96.2309 97.9945 21.5878 20.2282 22.0288
" Il18" 39.9875 35.9264 32.714 79.8882 22.664
" Esco2" 135.199 166.411 280.753 668.174 231.589
" Hgf" 88.0521 39.4851 22.99 20.6886 20.0952
" Orc1" 54.2057 57.8572 73.3236 134.352 54.4201
" Il33" 17.9618 22.7894 25.9089 93.1531 26.1523
" Pcdh9" 25.5883 26.7813 76.919 25.6163 44.3725
" Fcgr4" 55.0639 47.4482 24.8191 23.7369 21.7048
" Aspm" 160.579 175.508 242.805 722.138 262.293
" Tmem108" 43.847 72.6894 216.478 426.943 339.92
" Gm5111" 134.513 101.053 44.0172 24.5866 24.4377
" Aoah" 75.5648 57.4631 25.25 25.4235 21.5223
" Gda" 402.343 193.514 33.5292 42.4416 32.5668
" Gm10877" 19.5701 19.6452 31.3977 27.3568 51.3647
" Alms1" 43.5582 34.3881 46.6866 82.7645 51.3099
" Ar" 164.071 97.5334 20.8447 19.7772 18.1306
" Pde3b" 383.734 346.839 423.152 597.439 351.841
" Cldn10" 25.1446 29.8807 42.5455 80.2132 60.7043
" Mcpt8" 166.156 64.6563 34.5879 30.052 26.8531
" Scin" 38.1536 44.6103 52.0769 113.693 47.2774
" Cpm" 30.3611 39.7629 590.281 1045.83 2134.44
" Abca13" 115.588 73.4532 29.4993 30.4655 32.6309
" Ipcef1" 158.142 129.139 167.293 55.2703 81.1723
" Igk-V19-14" 39.9092 25.9906 150.384 31.704 375.439
" Gm4827" 27.0584 35.1479 50.871 27.0962 33.2389
" Fgd4" 121.553 68.6484 19.4491 19.0124 19.6365
" Mlf1ip" 52.9987 58.1563 47.8545 98.9538 37.207
" Snord52" 107.21 69.6978 95.7906 215.972 54.8638
" Fpr3" 42.3606 47.8966 26.5196 28.2699 27.045
" Cdc25c" 117.135 112.389 150.039 429.299 130.551
" Ngp" 3351.39 1665.08 176.405 223.08 123.145
" Ttc39b" 42.9215 40.0846 52.7113 61.2729 75.1412
" Hist1h1d" 34.5624 36.5527 46.8615 50.8267 59.6765
" Nlrp1a" 66.4638 57.8544 51.5379 26.963 25.4366
" Cnn3" 701.01 582.366 535.73 463.245 275.934
" Trem1" 84.7409 111.618 50.3038 31.352 35.723
" Ccne2" 120.272 109.719 244.199 447.17 143.678
" Ncs1" 95.9896 55.6687 46.0666 35.6922 32.1447
" Gm16848" 11.1431 13.3624 22.0926 10.8751 62.8607
" Gm10384" 203.399 139.145 162.951 67.9922 48.9927
" Fbp1" 37.5592 33.0733 61.1162 27.2676 28.6958
" Zik1" 52.4229 44.6839 45.6629 56.7841 50.1412
" LOC100503984" 113.346 123.768 142.736 138.737 119.976
" Dennd5b" 14.3599 15.017 63.3141 202.68 87.1487
" Pter" 51.3628 45.19 35.5731 40.8019 27.5316
" Ift81" 54.146 45.6892 34.0707 30.9491 22.6438
" 4922502D21Rik" 28.7178 32.1621 48.6783 34.125 39.0064
" Gcet2" 60.0635 35.5659 30.1339 56.3753 30.4239
" Tnfsf14" 64.4918 60.6161 34.0553 29.0634 34.9276
" Tlr4" 46.127 34.5611 83.9188 52.9978 28.295
" Pla2g4c" 24.5928 25.5648 37.118 67.1313 32.1274
" Kntc1" 250.661 217.137 223.027 649.635 187.995
" C330019L16Rik" 70.4787 41.2132 45.6466 37.0276 25.3463
" Ceacam10" 88.173 62.5626 28.35 32.4291 33.4578
" Gcsh" 57.199 36.1803 56.5352 72.7059 25.7334
" Cyp2j9" 117.422 103.536 112.286 31.4742 33.672
" Ear2" 68.2046 53.787 22.2707 21.9005 20.7833
" Prg2" 137.895 87.6879 56.0338 33.5641 38.5291
" I830127L07Rik" 514.194 246.062 39.7919 43.4575 27.5143
" Dach1" 79.7876 54.0838 26.608 30.2098 29.3588
" Stxbp4" 97.832 40.7873 33.5519 65.2046 40.2088
" Dmxl2" 93.0825 70.3931 27.9638 29.4555 27.8699
" Klhl14" 25.9363 31.6746 79.3462 50.3102 256.416
" Mrpl42" 89.8971 52.7723 45.233 164.559 28.3076
" Tlr13" 58.5558 61.4892 22.9783 28.8364 23.9136
" Mgam" 82.1824 59.0019 30.8393 35.5324 28.978
" Slc27a2" 185.026 139.117 27.655 28.0018 25.1635
" Pvt1" 46.5704 57.509 63.2809 55.9001 37.2752
" Ttk" 192.901 175.392 264.955 605.918 190.591
" Hist1h2ab" 325.492 420.459 827.121 1050.98 695.372
" BC002195" 34.7016 27.7938 47.5242 27.3815 32.6745
" Eaf2" 22.102 23.8784 31.6212 40.7815 63.2007
" Cxcl2" 38.2709 54.8959 25.7582 29.4811 25.4816
" E430029J22Rik" 29.6508 29.2772 83.0692 45.2447 62.5648
" Thrb" 27.5713 35.5845 48.0365 29.2464 28.9669
" Zfp184" 59.0108 40.2243 35.9481 35.1169 42.8002
" Fam33a" 36.8321 34.0962 41.1837 85.8687 29.7104
" Gm10033" 50.9715 33.2557 30.8132 32.2713 36.5887
" Ttc26" 45.1198 40.3762 47.053 55.5325 29.5651
" Cdkl5" 28.1807 26.387 50.8627 39.8489 41.416
" Gpr128" 168.823 83.1766 55.9136 39.9172 34.69
" Serpinb1a" 989.169 732.094 303.273 449.551 184.684
" Fert2" 48.5179 48.4388 37.5506 46.0007 34.3193
" Retnlg" 950.041 363.698 44.537 59.1343 41.995
" Spo11" 21.8908 25.2634 79.474 30.4058 40.1457
" Layn" 58.9651 49.2287 36.3139 23.1793 26.556
" Pf4" 118.956 42.1141 26.6059 29.0279 27.8852
" Hnrpll" 146.072 76.3559 32.7844 38.3671 35.5282
" Rapgef5" 49.1632 48.0266 208.595 169.613 92.0479
" Tmc7" 27.6399 39.5532 80.2262 61.257 144.423
" Zwilch" 159.289 127.327 139.518 403.57 102.62
" Tmem107" 42.9033 43.5527 39.8153 47.4856 32.3604
" Sqrdl" 149.061 83.3886 24.0789 25.2007 22.9004
" Acsl3" 167.218 102.237 120.446 144.53 102.894
" Cks2" 115.832 103.742 126.514 388.284 89.5331
" Cep55" 189.03 193.576 307.434 839.718 274.891
" Gm14501" 40.3143 42.2547 38.9838 58.3532 48.2573
" B3gnt5" 363.77 187.089 391.678 411.238 711.953
" Lonrf3" 45.4762 43.1889 39.9687 51.9963 47.7322
" Pilrb2" 69.5621 56.6215 33.4603 28.8059 32.0055
" Rnf125" 91.5297 71.0269 81.1147 72.0368 92.2532
" 4933432B09Rik" 49.9946 43.7116 38.4022 41.3875 40.1973
" E330016A19Rik" 89.779 73.2094 32.1975 25.4364 29.1448
" Ctsg" 322.963 142.042 38.4825 41.3119 39.9787
" Myct1" 50.7035 32.5025 25.2904 24.5824 22.9205
" Chac2" 34.686 31.5205 41.8682 47.8574 47.5343
" Gm5595" 82.1719 36.7192 52.3802 31.4528 28.7435
" Itga6" 167.267 104.214 142.323 227.688 175.817
" Csgalnact1" 36.3669 35.7943 181.875 50.5639 60.0289
" Kif11" 774.023 835.401 1133.52 2490.59 1047.73
" Cd300ld" 82.7044 62.6151 29.7968 28.1076 26.6127
" Zfp874b" 53.0478 32.3742 48.61 38.1243 59.2481
" Elovl7" 66.0412 45.6616 38.1924 34.3304 28.0034
" Kctd12b" 47.3822 40.2607 39.1094 26.9655 29.1416
" Zc3h8" 54.67 46.1838 44.5247 64.5592 49.9201
" Cyp39a1" 41.5242 42.3764 91.2914 97.5133 150.069
" Itih5" 257.997 123.737 83.6564 153.947 61.1828
" Cenpw" 61.8346 51.1451 96.8239 195.316 54.1754
" Enpp6" 39.658 40.7438 116.139 150.773 39.6712
" Ly6g" 576.68 252.424 39.228 48.8223 43.6006
" S100a8" 4856.18 2261.61 158.866 244.344 117.456
" Ptger3" 133.877 49.8233 25.9753 23.786 24.6807
" F630043A04Rik" 223.194 207.484 306.01 788.696 218.545
" Igk-V19-20" 26.1873 30.0616 47.2075 33.8331 137.752
" Arrdc5" 31.3303 36.8842 36.9504 37.629 49.6398
" Gm5465" 71.6323 90.8805 119.595 238.566 118.456
" Foxd4" 38.6688 48.1842 29.92 31.6845 34.2615
" Asns" 101.708 64.1928 54.8077 83.6685 43.7931
" Car3" 35.7293 44.2519 43.4995 68.1865 37.6525
" Gm5150" 66.1715 46.1978 24.2988 36.4794 30.2739
" Hmgcll1" 24.8677 39.6873 198.786 152.765 178.207
" Sfmbt2" 62.5418 55.8951 57.9013 64.5311 37.6696
" Uxt" 30.3263 25.6364 28.8396 50.0978 26.726
" 2310081J21Rik" 28.83 34.8246 37.9981 33.2452 50.6728
" Ncapg" 472.716 462.132 718.515 1545.68 563.823
" Rab27b" 50.4246 33.0332 30.4968 28.4219 28.632
" Lonrf1" 67.3565 53.0971 51.9271 45.5001 30.5429
" Sgce" 47.35 40.6828 43.2369 27.386 31.6325
" Tiam2" 78.2063 60.1497 60.2539 53.0008 33.4025
" Vipr2" 49.4981 41.141 42.3917 31.2383 35.7911
" Rprl1" 26.0507 34.0737 53.232 40.1218 90.82
" Serpine2" 68.7415 49.0394 31.8423 28.3797 32.0219
" Epx" 66.1488 49.6507 38.615 32.0822 31.7721
" Nos1ap" 39.1837 49.0776 30.9699 36.1144 37.0901
" Rtkn2" 67.1524 73.3183 113.962 287.992 91.441
" Tnfsf8" 55.6122 44.6086 37.3657 42.2581 32.8223
" Fcrl6" 33.9371 33.3256 82.0973 31.6222 53.3759
" Ltb4r1" 66.9244 66.2761 35.2804 36.8954 37.8131
" Ms4a3" 122.993 65.724 41.064 43.6412 36.8958
" Tnnt1" 37.5976 49.6216 36.4595 36.4486 39.2573
" Muc13" 132.094 65.3155 69.6827 33.1242 39.9037
" Enpep" 28.5208 35.434 170.283 419.968 108.65
" Bank1" 95.0832 76.7918 89.6297 54.7458 209.902
" 1700025G04Rik" 116.109 71.3082 53.4375 42.6159 34.3386
" Klhl23" 64.6666 48.585 42.6343 46.0891 33.0581
" 2610021K21Rik" 51.9558 58.5122 66.6242 132.577 49.1581
" Trim2" 33.2048 38.1409 50.3609 63.6262 79.6339
" Lmo1" 45.3293 50.1853 32.2346 29.3698 32.635
" Prkcq" 154.553 76.6964 120.706 69.7376 76.2365
" Dclk2" 58.3497 57.5057 92.938 93.2652 99.12
" Ston1" 32.7892 40.9709 43.3379 40.5696 47.2823
" Spp1" 33.4176 38.2175 33.8197 113.406 42.6741
" Myc" 1457.95 880.48 813.532 646.875 58.4894
" Slfn1" 203.732 125.681 38.8279 46.4976 58.7234
" Ppap2b" 32.0137 38.336 100.78 35.8948 41.9973
" Dio2" 42.3028 37.8296 49.6779 51.7415 38.2471
" Serf1" 59.1346 57.2518 44.7677 48.3786 44.138
" Scn4b" 34.3514 59.2593 254.378 36.1407 66.6539
" Car12" 56.5933 44.3448 46.0285 48.2071 37.0904
" 1700012L04Rik" 43.36 44.1123 41.7669 62.6929 52.4401
" S1pr3" 127.909 106.281 37.1824 34.1766 51.7505
" Car5b" 53.4701 34.5306 32.4066 35.1021 27.4969
" Cdc42bpa" 52.3182 36.0347 43.2456 31.5183 25.0096
" Prc1" 315.289 338.914 436.857 1084.57 501.474
" Anxa3" 203.162 107.899 31.7303 35.7312 34.6487
" Ccr1" 120.633 51.6346 21.7339 20.0326 20.7955
" 2810408A11Rik" 108.177 79.5958 69.8644 95.1731 81.3228
" Wdr35" 55.5235 54.9118 54.0063 98.0092 49.7357
" Il18rap" 1654.61 1182.68 53.7869 48.7874 46.6148
" LOC100039147" 35.4936 48.6837 27.6118 32.6078 37.2897
" Gpsm2" 72.9768 66.9088 126.338 347.311 119.35
" Tbx19" 32.9773 39.9857 37.9887 51.308 38.2842
" Rad54b" 156.423 140.564 130.508 298.631 111.524
" Jub" 30.1987 33.6982 84.2767 54.612 43.8401
" Sertad4" 40.6053 48.1921 147.485 46.8215 229.9
" Lcn2" 5344.5 2822.17 272.404 253.269 209.286
" Fgf13" 66.367 79.86 68.4997 119.652 82.6958
" Dock1" 71.7743 43.4799 36.8143 28.5581 31.6065
" Mboat1" 72.3899 59.913 38.1953 35.5234 35.7986
" 4921517D22Rik" 39.9204 47.3997 35.6052 39.2387 40.8282
" 4731417B20Rik" 29.3075 34.709 38.755 33.092 49.0064
" Ccnb1" 329.517 302.476 638.761 1666.94 390.86
" Gm6306" 41.5736 37.9764 41.049 53.2776 37.8804
" Padi4" 128.991 102.676 37.8862 36.4691 38.4297
" Ctnnd1" 74.1524 52.087 75.0003 51.5662 44.7254
" Gm10883" 29.8561 27.5317 51.7041 38.4785 62.5113
" Angpt1" 483.988 166.369 34.404 18.3892 45.2482
" Pbk" 198.381 260.083 347.045 673.9 307.295
" Cyp2t4" 33.4873 41.4741 39.5492 48.2333 51.6083
" Rragd" 28.5088 38.3117 111.779 106.139 60.3888
" Trpc6" 56.2875 34.62 31.5089 30.4246 32.0754
" Mtus1" 101.441 79.8221 36.054 37.4829 36.3205
" Cysltr1" 43.1614 36.7646 35.7206 29.1161 49.0199
" Acpp" 63.0128 63.0472 50.3637 39.7543 34.8683
" Plk2" 32.8428 37.058 82.624 95.1718 151.958
" Satb2" 33.5936 34.6898 43.1442 34.4578 61.1441
" Hist1h2ba" 69.7739 89.3147 114.758 140.844 117.887
" Zfp882" 71.4722 44.7545 63.1381 68.4777 74.5468
" Anxa1" 2012.3 1049.79 689.527 351.293 111.09
" Kcnrg" 53.2883 47.1617 47.5642 42.1208 63.2283
" Lrrn3" 29.5391 33.0325 45.5629 42.3617 81.9482
" Spag1" 41.6398 35.9622 44.3885 51.8253 49.1901
" Fam84b" 54.325 49.9893 56.5173 41.7143 54.7408
" Gm10493" 30.6932 35.4327 37.7367 37.6436 48.5046
" Hnf1b" 34.6042 48.5456 48.3058 37.7521 41.8401
" Nusap1" 302.67 351.938 428.321 1092.81 415.653
" Slc16a1" 246.375 242.058 1240.21 2038.4 1292.9
" Gmnn" 112.819 109.943 116.994 294.976 94.1933
" Rasgrp3" 66.1075 36.1401 70.838 60.6013 106.178
" Rtp4" 305.226 200.649 188.444 45.7989 82.9584
" 4930547N16Rik" 151.555 166.381 217.38 634.898 188.399
" Gm10101" 38.7158 39.898 53.1285 50.5639 67.1799
" H19" 37.0089 51.7309 33.5472 36.7455 35.4257
" Bod1l" 33.0723 31.5257 33.4688 47.7221 38.0232
" Echdc2" 42.2577 53.4612 34.0007 38.4602 40.0508
" F13a1" 383.079 182.376 381.864 221.885 93.6434
" L1td1" 36.2275 49.1847 37.1153 34.4854 41.411
" Gm9853" 44.2711 42.8853 50.0265 46.4173 38.5531
" AA467197" 160.471 115.111 38.3433 37.5606 46.8927
" Neil3" 331.279 424.587 602.782 1324.46 525.599
" Fam70a" 28.5658 39.2692 103.061 40.8988 49.1302
" Spa17" 37.5629 43.2416 28.7928 57.6601 33.3633
" Mtap2" 28.4516 31.6754 32.9088 45.9258 61.0331
" Gm5784" 40.1822 49.5247 47.291 43.3155 51.7321
" Eltd1" 1089.92 368.275 147.864 34.2465 30.3443
" Rhobtb3" 109.311 56.9807 38.7769 36.2955 36.1225
" Pcnt" 35.7294 42.8785 36.2864 45.5964 47.036
" Gm4825" 50.4604 45.886 33.9476 45.961 38.0137
" Ifit1" 58.712 41.5513 36.3142 27.314 30.0422
" Tlr1" 30.9268 34.5564 28.9674 26.4683 50.115
" Zfp667" 74.7433 61.4593 102.159 97.1787 92.2468
" Tusc3" 32.4029 42.507 36.6701 32.8189 47.2361
" Sgms2" 103.04 83.0671 43.8963 39.179 46.5897
" Fam109b" 48.838 50.5909 30.1938 28.2734 36.182
" Akr1c13" 52.0361 40.6954 33.5313 29.5263 26.6859
" Phxr2" 51.974 40.1108 103.163 45.2603 81.3133
" Arpp21" 370.952 317.002 278.649 57.5141 45.6807
" Mir218-2" 38.9093 48.4562 35.1356 42.555 38.6024
" Foxf2" 37.0187 48.1683 46.7577 41.3056 47.0435
" Clip4" 49.9681 58.3602 35.474 40.6637 48.7537
" St6galnac3" 60.3857 53.0992 63.875 43.9948 36.741
" Rad51" 277.917 236.404 289.511 725.969 165.681
" 4931431F19Rik" 35.8203 47.8008 35.0648 30.9825 39.4197
" Cldnd2" 55.576 58.4576 39.8157 31.5676 38.3654
" Selp" 48.7119 44.5747 34.478 34.4003 50.5594
" 2610019F03Rik" 37.274 49.0017 37.8991 36.1587 38.5589
" Csf3r" 362.491 184.368 49.752 46.5047 53.3473
" Zpbp2" 26.0482 32.7856 36.4321 55.852 45.3818
" Hist1h1t" 38.7294 36.9227 49.9887 48.1129 47.0708
" Igkv4-71" 63.1123 72.4626 156.29 73.0642 494.513
" Dzip1" 74.7575 57.9897 62.5574 37.5189 45.5552
" Srd5a1" 43.0584 43.9487 45.5952 61.9889 46.2267
" Cacng2" 33.7425 54.757 37.1732 36.6227 36.8569
" Gm106" 38.1801 56.971 30.4595 32.4209 42.6835
" Sorbs2" 28.5919 36.6188 48.1409 42.6719 42.0606
" Hapln4" 34.9586 49.2804 41.314 38.852 40.6045
" Gm1502" 42.2982 72.6309 148.929 71.3802 320.26
" Hoxc8" 39.3584 60.549 46.2389 35.9566 49.5037
" Ky" 37.8714 47.2821 39.8722 35.5075 43.006
" Atp8b4" 1336.07 1020.1 116.413 53.8329 35.5336
" Acot1" 51.2237 48.5439 34.2725 35.4164 36.6492
" Gja4" 35.5908 47.1725 34.6417 34.4734 34.9737
" Mmp28" 39.5383 55.0366 36.2417 40.3344 38.9394
" Klf9" 37.6698 49.0379 37.2285 41.2497 53.2934
" Mcoln3" 71.0096 62.1004 34.1363 43.2428 39.3097
" Gsg2" 85.3576 70.9361 93.7523 210.926 76.0443
" Ccrl1" 37.6954 49.3743 34.5876 34.8312 45.1657
" Fer1l4" 38.098 51.3705 36.6488 37.0059 41.9088
" Pard6g" 80.0905 79.7145 106.278 155.822 66.8207
" Syde2" 91.7692 65.8134 51.9057 35.8373 27.5114
" Mlkl" 263.871 179.132 96.2836 57.7952 53.2271
" Insl6" 60.1696 54.6923 97.5298 47.3399 74.4191
" Evx1" 38.8581 49.4806 39.0514 37.1878 43.661
" Pip5k1b" 197.154 143.889 232.522 188.765 229.286
" Pus7" 62.7293 55.9031 55.4918 70.3666 25.0765
" Wdr60" 55.6391 58.0607 40.3991 49.7232 34.3368
" Pygl" 490.005 254.45 91.087 63.4579 54.113
" B230120H23Rik" 151.5 113.197 95.778 139.583 94.6328
" Cenpf" 212.03 238.403 269.303 797.755 207.89
" Zfp69" 45.7699 43.1174 54.8368 49.9557 50.928
" Cd101" 104.96 97.2504 41.9781 38.5658 45.6193
" Ism1" 39.012 49.8701 38.0988 37.1122 40.1827
" Ear6" 55.7564 57.3886 43.1064 32.2986 44.923
" 1810011H11Rik" 63.7872 49.505 31.3389 32.2932 39.4765
" Gsta4" 46.2826 51.9267 39.8424 38.4008 45.0553
" Cenpl" 85.9493 79.7841 154.291 308.005 109.217
" Cth" 38.3339 37.6059 38.9255 49.9123 52.1071
" Llph" 61.7376 38.7524 49.3652 61.9382 38.9954
